name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
1976 ketch baarda zeegrundel1976 ketch baarda zeegrundel,26705,1976,ketch,baarda zeegrundel,barge sail boat,2952,diesel,steel,
1979 dufour 28001979 dufour 2800,10791,1979,dufour,2800,sailing boats with cabin,272,diesel,fiberglass / polyester,
2010 van der graaf classic schooner2010 van der graaf classic schooner,13080000,2010,van der graaf,classic schooner,sloop boats,216,diesel,steel,
2010 custom van der graaf bv schooner2010 custom van der graaf bv schooner,13080000,2010,custom,van der graaf bv schooner,cleaner,211,diesel,steel,
2008 custom build gulet2008 custom build gulet,5450000,2008,custom build,gulet,sailing yachts,141,diesel,wood,
2025 sunreef 1402025 sunreef 140,0,2025,sunreef,140,catamaran,139,other,composite,catamaran
2015 bodrum custom2015 bodrum custom,8665500,2015,bodrum,custom,other (sailboats),130,diesel,ferro-cement,
1986 fjellstrand dsc passenger catamaran1986 fjellstrand dsc passenger catamaran,1075830,1986,fjellstrand,dsc passenger catamaran,catamarans and trimarans,127,diesel,aluminum,other
1911 william fife & sons 38meter1911 william fife & sons 38meter,3815000,1911,william fife,& sons 38meter,classic sailboats,125,diesel,wood,
2007 schooner eldorado2007 schooner eldorado,1417000,2007,schooner,eldorado,sloop boats,124,diesel,steel,
1990 custom aegean builders sa poseidon 1231990 custom aegean builders sa poseidon 123,545000,1990,custom,aegean builders sa poseidon 123,classic sailboats,123,diesel,steel,
2004 custom build gulet2004 custom build gulet,3270000,2004,custom build,gulet,racer/cruiser sailboats,122,diesel,wood,
2004 custom build gulet2004 custom build gulet,3052000,2004,custom build,gulet,deck saloon sailboats,120,diesel,wood,
2008 custom build motorsailer2008 custom build motorsailer,2834000,2008,custom build,motorsailer,motor glider (sail),120,diesel,wood,
1996 muzaffer mengi yachting motorsailer ketch1996 muzaffer mengi yachting motorsailer ketch,1362500,1996,muzaffer mengi yachting,motorsailer ketch,sailing yachts,120,diesel,wood,
1910 tweemast charter zeeklipper 22 pass 1910 tweemast charter zeeklipper 22 pass ,217455,1910,tweemast charter zeeklipper 22 pass,,commercial ships (sails),118,diesel,steel,other
2011 viking ship construction motorsailer2011 viking ship construction motorsailer,2725000,2011,viking ship construction,motorsailer,motor glider (sail),118,diesel,wood,monohull
2011 salmakis tur.tic.yat ketch2011 salmakis tur.tic.yat ketch,4360000,2011,salmakis tur.tic.yat,ketch,gulets (sail),116,diesel,wood,
